frame cameraID trackID alpha width height length world_space_X world_space_Y world_space_Z rotation_world_space_y rotation_world_space_x rotation_world_space_z camera_space_X camera_space_Y camera_space_Z rotation_camera_space_y rotation_camera_space_x rotation_camera_space_z
0 0 0 -1.996793 1.85 1.50992 4.930564 6.371316 -111 -5.044228 0.2694305 0 0 2.904048 1.4341 6.406569 -1.571205 0.001540535 -0.07224263
0 0 1 -1.796513 1.612032 1.404795 3.772344 12.85112 -111 -6.945244 0.2689006 0 0 3.008632 1.41593 13.15864 -1.571733 0.001502285 -0.07224342
0 0 2 -1.654057 1.567278 1.413269 3.158158 18.77596 -111 -8.52928 0.3388072 0 0 2.956056 1.410106 19.29135 -1.502008 0.006540446 -0.07196293
0 0 3 1.832166 1.555003 1.527328 3.576751 25.4738 -111 -1.092491 -2.856606 0 0 -5.973762 2.049313 23.76534 1.585904 -0.002663161 0.07221006
0 0 4 1.68899 1.540477 1.417371 3.504343 47.3462 -111 -7.073209 -2.88292 0 0 -6.039978 2.018503 46.44057 1.559658 -0.000763964 0.07225502
0 0 5 -1.634804 1.746308 1.512623 3.775172 48.3271 -111 -16.87533 0.2681896 0 0 3.121991 1.349885 49.99796 -1.572443 0.001450962 -0.07224449
0 0 6 1.696156 1.513462 1.360295 4.017023 52.68916 -111 -8.662834 -2.859927 0 0 -5.932473 2.001972 52.01393 1.582591 -0.002423533 0.07221849
0 0 7 1.664531 1.652467 1.73687 4.107703 60.61275 -111 -11.18089 -2.870891 0 0 -5.618606 1.966214 60.322 1.571656 -0.001632296 0.07224065
0 0 9 1.670515 1.638188 1.609242 3.998 67.01912 -111 -12.89011 -2.856612 0 0 -5.678875 1.960166 66.95219 1.585898 -0.002662718 0.07221006
0 0 10 1.641113 1.697305 1.431419 3.744055 77.44038 -111 -15.97563 -2.871786 0 0 -5.483585 1.928971 77.81883 1.570763 -0.001567703 0.07224207
0 0 11 -1.612065 1.6639 1.546081 4.146974 95.69395 -111 -30.85117 0.2684246 0 0 3.962967 1.211496 99.37627 -1.572208 0.001467927 -0.07224414
0 0 13 -3.237724 1.69797 1.473782 4.648869 87.36132 -111 -34.19402 -1.295739 0 0 9.391953 0.8298233 92.23568 -3.136248 -0.07223263 -0.001951746
0 0 14 -3.232058 1.812069 1.909038 4.330702 90.29138 -111 -35.19974 -1.291404 0 0 9.579693 0.8113818 95.32779 -3.131902 -0.07222348 -0.002265378
0 0 16 -1.524243 1.608983 1.632486 3.812409 102.1994 -111 -23.61287 0.2708724 0 0 -4.72489 1.833402 103.7177 -1.569767 0.00164461 -0.07224035
0 0 17 1.614736 1.566407 1.430527 3.482533 91.54613 -111 -20.64246 -2.879028 0 0 -4.747828 1.852427 92.65812 1.56354 -0.001044959 0.07225151
0 0 18 3.04617 1.672862 1.630828 4.318664 96.25768 -111 -36.84266 -1.302469 0 0 9.572704 0.8021712 101.5161 3.14019 -0.07224413 -0.001464781
0 0 19 1.599632 1.680223 1.530483 3.862273 113.0718 -111 -26.65898 -2.883682 0 0 -4.687437 1.812963 115.0087 1.558898 -0.0007089284 0.07225557
0 0 20 1.622681 1.552787 1.420148 3.85067 118.3439 -111 -28.25531 -2.857606 0 0 -4.554659 1.794708 120.5156 1.584906 -0.002590955 0.07221268
0 0 21 1.591782 1.478135 1.427379 3.709917 123.0347 -111 -29.57316 -2.886958 0 0 -4.534988 1.785635 125.3879 1.55563 -0.0004724283 0.07225752
0 0 22 1.594176 1.647438 1.400546 4.024915 128.8134 -111 -31.15455 -2.883031 0 0 -4.551241 1.777405 131.379 1.559547 -0.0007559471 0.07225508
0 0 23 3.056136 1.585631 1.639204 3.989951 120.7448 -111 -44.5419 -1.304423 0 0 10.46329 0.6974428 127.1695 3.13823 -0.07224685 -0.001323218
0 0 24 3.033982 1.682953 1.719717 2.781201 123.247 -111 -45.25151 -1.328025 0 0 10.48017 0.6921382 129.7702 3.114567 -0.07225792 0.0003850946
0 0 25 3.039215 1.672834 1.674444 3.425593 125.5784 -111 -45.49247 -1.32712 0 0 10.09192 0.7166066 132.0816 3.115474 -0.07225824 0.0003196044
0 0 26 -0.2624233 1.796667 1.736666 4.374446 98.56261 -111 -52.30196 1.795584 0 0 23.82088 -0.2388959 107.8571 -0.04505685 0.0722393 -0.001686634
0 0 27 -0.1826512 1.85 1.55 4.65 101.7385 -111 -53.24493 1.869414 0 0 23.88295 -0.2485881 111.1695 0.02896599 0.07216657 0.003655808
0 0 32 3.053833 1.615801 1.56902 3.690002 128.4523 -111 -45.8271 -1.317398 0 0 9.649487 0.7441356 134.9407 3.125221 -0.07225792 -0.0003841163
0 0 33 1.64263 1.614783 1.426384 4.125178 136.0682 -111 -33.35592 -2.831208 0 0 -4.36401 1.751955 138.9581 1.611235 -0.004494455 0.07211939
0 0 34 -1.624664 1.596091 1.471051 3.865517 128.0867 -111 -40.51506 0.2507517 0 0 4.640224 1.10942 133.1729 -1.589835 0.0001921132 -0.07225876
0 0 35 -1.607126 1.572021 1.571396 4.042688 133.4577 -111 -41.98325 0.2668153 0 0 4.623524 1.101887 138.741 -1.573813 0.001351765 -0.07224639
0 0 36 1.607542 1.499868 1.481957 3.577903 141.7011 -111 -34.97137 -2.864733 0 0 -4.308758 1.738756 144.8178 1.577798 -0.002076752 0.07222925
0 0 37 1.484987 1.614714 1.455476 3.60968 142.8441 -111 -44.71676 -2.925693 0 0 4.755581 1.076982 148.5163 1.516997 0.002323645 0.07222175
0 0 38 1.679986 1.564952 1.484442 4.090225 150.5646 -111 -37.49467 -2.78987 0 0 -4.239769 1.719294 154.0332 1.652468 -0.007468546 0.07187271
0 0 39 -1.655631 1.667148 1.462216 3.889512 148.4521 -111 -46.12149 0.2147623 0 0 4.614887 1.07809 154.2959 -1.62573 -0.002405737 -0.07221904
0 0 40 1.607016 1.630639 1.561269 3.624328 165.0249 -111 -41.39104 -2.861172 0 0 -4.338898 1.702956 169.0089 1.581349 -0.002333701 0.07222144
0 0 41 -1.648473 1.600727 1.508927 3.541442 156.7667 -111 -48.21305 0.2191316 0 0 4.414814 1.079111 162.8671 -1.621373 -0.002090445 -0.07222884
0 0 42 -1.693387 1.504644 1.531034 3.336817 161.9815 -111 -49.74989 0.173764 0 0 4.505627 1.064003 168.303 -1.666622 -0.005361183 -0.07206021
0 0 43 1.589817 1.426118 1.456842 3.51561 169.9013 -111 -42.8667 -2.876961 0 0 -4.216919 1.686131 174.1023 1.565601 -0.00119411 0.07224921
0 0 89 -0.2452289 2.073281 2.059121 4.939535 92.50861 -111 -50.3466 1.823331 0 0 23.55085 -0.2093747 101.501 -0.01723736 0.07225823 0.0003216632
0 0 90 -3.014482 1.892187 1.945312 4.609375 195.2215 -111 -44.07226 -1.22336 0 0 -9.790173 2.050634 198.8281 -3.063682 -0.07190204 -0.007179191
0 0 97 -1.244374 1.558375 1.5 4.451755 57.63963 -111 2.805295 0.2684366 0 0 -18.27302 2.892339 53.72951 -1.572196 0.001468793 -0.07224413
1 0 0 -2.077101 1.85 1.50992 4.930564 6.371316 -111 -5.044228 0.2694305 0 0 2.898521 1.442701 5.229193 -1.570965 -0.000136679 -0.073139
1 0 1 -1.817211 1.612032 1.404795 3.772344 12.85112 -111 -6.945244 0.2689006 0 0 3.004717 1.435759 11.98125 -1.571494 -0.0001754034 -0.07313892
1 0 2 -1.663408 1.567278 1.413269 3.158158 18.77596 -111 -8.52928 0.3388072 0 0 2.953615 1.440266 18.11398 -1.501773 0.004929222 -0.07297315
1 0 3 1.84471 1.555003 1.527328 3.576751 25.4738 -111 -1.092491 -2.856606 0 0 -5.974547 2.094986 22.58904 1.586142 -0.001000058 0.07313232
1 0 4 1.692452 1.540477 1.417371 3.504343 47.3462 -111 -7.073209 -2.88292 0 0 -6.035323 2.102258 45.2643 1.559899 0.0009227713 0.07313331
1 0 5 -1.636164 1.746308 1.512623 3.775172 48.3271 -111 -16.87533 0.2681896 0 0 3.126903 1.431387 48.82061 -1.572203 -0.0002273601 -0.07313877
1 0 6 1.698883 1.513462 1.360295 4.017023 52.68916 -111 -8.662834 -2.859927 0 0 -5.926488 2.094976 50.83765 1.58283 -0.0007573814 0.0731352
1 0 7 1.666474 1.652467 1.73687 4.107703 60.61275 -111 -11.18089 -2.870891 0 0 -5.61065 2.072868 59.14569 1.571896 4.378147E-05 0.07313912
1 0 9 1.672115 1.638188 1.609242 3.998 67.01912 -111 -12.89011 -2.856612 0 0 -5.669322 2.077991 65.77589 1.586136 -0.0009996091 0.07313233
